title,release_year,country,duration,language,certification,gross,budget
Battlefield Earth,2000,USA,119,English,PG-13,21471685,44000000
Bedazzled,2000,USA,93,English,PG-13,37879996,48000000
Best in Show,2000,USA,90,English,PG-13,18621249,6000000
Big Momma's House,2000,USA,99,English,PG-13,117559438,30000000
Billy Elliot,2000,UK,110,English,R,21994911,5000000
Bless the Child,2000,USA,107,English,R,29374178,40000000
Boiler Room,2000,USA,120,English,R,16938179,8000000
Book of Shadows: Blair Witch 2,2000,USA,90,English,R,26421314,15000000
Boys and Girls,2000,USA,94,English,PG-13,20627372,16000000
Bring It On,2000,USA,98,English,PG-13,68353550,10000000
Brother,2000,USA,114,English,R,447750,10000000
Cast Away,2000,USA,143,English,PG-13,233630478,90000000
Cecil B. DeMented,2000,France,87,English,R,1276984,10000000
Center Stage,2000,USA,115,English,PG-13,17174870,18000000
Charlie's Angels,2000,USA,94,English,PG-13,125305545,92000000
Chicken Run,2000,UK,84,English,G,106793915,45000000
Chocolat,2000,UK,121,English,PG-13,71309760,25000000
Chuck & Buck,2000,USA,96,English,R,1050600,250000
Coyote Ugly,2000,USA,107,English,PG-13,60786269,45000000
"Crouching Tiger, Hidden Dragon",2000,Taiwan,120,Mandarin,PG-13,128067808,15000000
Dancer in the Dark,2000,Denmark,140,English,R,4157491,12800000
Digimon: The Movie,2000,USA,82,English,PG,9628751,5000000
Dinner Rush,2000,USA,99,English,R,110000,
Dinosaur,2000,USA,82,English,PG,137748063,127500000
Down to You,2000,USA,91,English,PG-13,20035310,9000000
Dracula 2000,2000,USA,99,English,R,33000377,28000000
Drowning Mona,2000,USA,96,English,PG-13,15427192,16000000
"Dude, Where's My Car?",2000,USA,83,English,PG-13,46729374,13000000
Duets,2000,USA,112,English,R,4734235,15000000
Erin Brockovich,2000,USA,131,English,R,125548685,52000000
Everything Put Together,2000,USA,87,English,R,,100000
Final Destination,2000,USA,98,English,R,53302314,23000000
Finding Forrester,2000,USA,136,English,PG-13,51768623,43000000
Fiza,2000,India,167,Hindi,,610991,1000000
Frequency,2000,USA,118,English,PG-13,44983704,31000000
George Washington,2000,USA,90,English,Unrated,241816,42000
Get Carter,2000,USA,102,English,R,14967182,40000000
Gladiator,2000,USA,171,English,R,187670866,103000000
Gone in Sixty Seconds,2000,USA,127,English,PG-13,101643008,90000000
Gossip,2000,USA,90,English,R,5108820,24000000
Groove,2000,USA,86,English,R,1114943,500000
Gun Shy,2000,USA,101,English,R,1631839,10000000
Hanging Up,2000,Germany,94,English,PG-13,36037909,60000000
Here on Earth,2000,USA,96,English,PG-13,10494147,15000000
High Fidelity,2000,UK,113,English,R,27277055,20000000
Highlander: Endgame,2000,USA,101,English,R,12801190,15000000
Hollow Man,2000,USA,119,English,R,73209340,95000000
How the Grinch Stole Christmas,2000,USA,110,English,PG,260031035,123000000
Hum To Mohabbat Karega,2000,India,,Hindi,,,
I Dreamed of Africa,2000,USA,114,English,PG-13,6543194,34000000
Isn't She Great,2000,USA,95,English,R,2954405,36000000
Keeping the Faith,2000,USA,128,English,PG-13,37036404,30000000
Lisa Picard Is Famous,2000,USA,90,English,PG-13,112521,
Little Nicky,2000,USA,90,English,PG-13,39442871,80000000
Loser,2000,USA,98,English,PG-13,15464026,20000000
Lost Souls,2000,USA,97,English,R,16779636,28000000
Love & Basketball,2000,USA,124,English,PG-13,27441122,15000000
Lucky Numbers,2000,France,105,English,R,10014234,65000000
Luminarias,2000,USA,100,English,R,428535,1000000
"Me, Myself & Irene",2000,USA,116,English,R,90567722,51000000
Meet the Parents,2000,USA,108,English,PG-13,166225040,55000000
Memento,2000,USA,113,English,R,25530884,9000000
Men of Honor,2000,USA,129,English,R,48814909,32000000
Mercy Streets,2000,USA,106,English,PG-13,171988,600000
Michael Jordan to the Max,2000,USA,46,English,,18642318,
Miss Congeniality,2000,USA,109,English,PG-13,106807667,45000000
Mission to Mars,2000,USA,114,English,PG,60874615,90000000
Mission: Impossible II,2000,USA,123,English,PG-13,215397307,125000000
My Dog Skip,2000,USA,95,English,PG,34099640,5000000
Next Friday,2000,USA,98,English,R,57176582,9500000
Nine Queens,2000,Argentina,114,Spanish,R,1221261,1500000
Nurse Betty,2000,Germany,110,English,R,25167270,24000000
Nutty Professor II: The Klumps,2000,USA,109,English,PG-13,123307945,65000000
"O Brother, Where Art Thou?",2000,UK,107,English,PG-13,45506619,26000000
Pandaemonium,2000,UK,124,English,PG-13,,15000000
Pay It Forward,2000,USA,123,English,PG-13,33508922,40000000
Pitch Black,2000,USA,112,English,R,39235088,23000000
Pok̩mon 3: The Movie,2000,Japan,93,Japanese,G,,16000000
Pollock,2000,USA,122,English,R,8596914,6000000
Proof of Life,2000,USA,135,English,R,32598931,65000000
Psycho Beach Party,2000,Australia,85,English,Unrated,265107,1500000
Quills,2000,UK,124,English,R,7060876,13500000
Ready to Rumble,2000,USA,107,English,PG-13,12372410,24000000
Red Planet,2000,USA,106,English,PG-13,17473245,70000000
Reindeer Games,2000,USA,124,English,R,23360779,34000000
Remember the Titans,2000,USA,120,English,PG,115648585,30000000
Requiem for a Dream,2000,USA,102,English,R,3609278,4500000
Return to Me,2000,USA,115,English,PG,32662299,24000000
Road Trip,2000,USA,94,English,R,68525609,15600000
Romeo Must Die,2000,USA,115,English,R,55973336,25000000
Rugrats in Paris: The Movie,2000,Germany,78,English,G,76501438,30000000
Scream 3,2000,USA,116,English,R,89138076,40000000
Screwed,2000,USA,81,English,PG-13,6982680,10000000
Sexy Beast,2000,UK,89,English,R,6940281,
Shadow of the Vampire,2000,UK,92,English,R,8279017,8000000
Shaft,2000,Germany,99,English,R,70327868,46000000
Shanghai Noon,2000,USA,110,English,PG-13,56932305,55000000
Small Time Crooks,2000,USA,94,English,PG,17071230,18000000
Snatch,2000,UK,104,English,R,30093107,6000000
Snatch,2000,UK,104,English,R,30093107,6000000
Snow Day,2000,USA,89,English,PG,60008303,13000000
Songcatcher,2000,USA,109,English,PG-13,3050934,1800000
Space Cowboys,2000,USA,130,English,PG-13,90454043,65000000
Supernova,2000,USA,91,English,PG-13,14218868,65000000
Tadpole,2000,USA,78,English,PG-13,2882062,150000
The 6th Day,2000,USA,123,English,PG-13,34543701,82000000
The Adventures of Rocky & Bullwinkle,2000,USA,92,English,PG,26000610,76000000
The Art of War,2000,USA,116,English,R,30199105,40000000
The Beach,2000,USA,119,English,R,39778599,50000000
The Broken Hearts Club: A Romantic Comedy,2000,USA,94,English,R,1744858,1000000
The Cell,2000,USA,109,English,R,61280963,33000000
The Circle,2000,Iran,90,Persian,Not Rated,673780,10000
The Claim,2000,UK,115,English,R,403932,20000000
The Claim,2000,UK,115,English,R,403932,20000000
The Contender,2000,USA,126,English,R,17804273,20000000
The Crew,2000,USA,88,English,PG-13,13019253,23000000
The Emperor's New Groove,2000,USA,78,English,G,89296573,100000000
The Family Man,2000,USA,125,English,PG-13,75764085,60000000
The Flintstones in Viva Rock Vegas,2000,USA,90,English,PG,35231365,60000000
The House of Mirth,2000,UK,135,English,PG,3041803,10000000
The In Crowd,2000,USA,105,English,PG-13,5217498,15000000
The Kid,2000,USA,104,English,PG,69688384,60000000
The Ladies Man,2000,USA,84,English,R,13592872,11000000
The Legend of Bagger Vance,2000,USA,126,English,PG-13,30695227,60000000
The Little Vampire,2000,Germany,95,English,PG,13555988,22000000
The Next Best Thing,2000,USA,99,English,PG-13,14983572,25000000
The Original Kings of Comedy,2000,USA,115,English,R,38168022,3000000
The Patriot,2000,USA,142,English,R,113330342,110000000
The Perfect Storm,2000,USA,130,English,PG-13,182618434,140000000
The Replacements,2000,USA,118,English,PG-13,44737059,50000000
The Road to El Dorado,2000,USA,89,English,PG,50802661,95000000
The Skulls,2000,USA,106,English,PG-13,35007180,15000000
The Specials,2000,USA,82,English,R,12996,1000000
The Tigger Movie,2000,USA,77,English,G,45542421,30000000
The Watcher,2000,USA,97,English,R,28927720,33000000
The Way of the Gun,2000,USA,119,English,R,6047856,8500000
The Whole Nine Yards,2000,USA,98,English,R,57262492,24000000
The Widow of Saint-Pierre,2000,France,112,French,R,3058380,100000000
The Yards,2000,USA,115,English,R,882710,24000000
The Young Unknowns,2000,USA,87,English,R,58163,
Thirteen Days,2000,USA,145,English,PG-13,34566746,80000000
Thomas and the Magic Railroad,2000,UK,85,English,G,15911333,19000000
Titan A.E.,2000,USA,94,English,PG,22751979,75000000
Traffic,2000,USA,190,English,R,124107476,48000000
U-571,2000,France,116,English,PG-13,77086030,62000000
Unbreakable,2000,USA,106,English,PG-13,94999143,75000000
Urban Legends: Final Cut,2000,USA,97,English,R,21468807,14000000
Urbania,2000,USA,106,English,R,1027119,225000
Vertical Limit,2000,USA,124,English,PG-13,68473360,75000000
What Lies Beneath,2000,USA,130,English,PG-13,155370362,100000000
What Planet Are You From?,2000,USA,87,English,R,6291602,50000000
What Women Want,2000,USA,127,English,PG-13,182805123,70000000
Whatever It Takes,2000,USA,94,English,PG-13,8735529,15000000
Where the Heart Is,2000,USA,120,English,PG-13,33771174,15000000
Whipped,2000,USA,82,English,R,4142507,3000000
Woman on Top,2000,USA,92,English,R,5018450,8000000
Wonder Boys,2000,USA,107,English,R,19389454,55000000
X-Men,2000,USA,104,English,PG-13,157299717,75000000
You Can Count on Me,2000,USA,111,English,R,9180275,1200000
15 Minutes,2001,USA,120,English,R,24375436,42000000
3000 Miles to Graceland,2001,USA,125,English,R,15738632,42000000
A Beautiful Mind,2001,USA,135,English,PG-13,170708996,58000000
A Knight's Tale,2001,USA,144,English,PG-13,56083966,65000000
A.I. Artificial Intelligence,2001,USA,146,English,PG-13,78616689,100000000
Ali,2001,USA,165,English,R,58183966,107000000
Alias Betty,2001,France,103,French,,206400,50000000
All the Queen's Men,2001,Germany,105,English,PG-13,22723,25000000
Along Came a Spider,2001,USA,104,English,R,74058698,60000000
Am̩lie,2001,France,122,French,R,33201661,77000000
America's Sweethearts,2001,USA,102,English,PG-13,93607673,48000000
American Desi,2001,USA,100,English,Unrated,902835,250000
American Outlaws,2001,USA,94,English,PG-13,13264986,35000000
American Pie 2,2001,USA,108,English,R,145096820,30000000
Angel Eyes,2001,USA,102,English,R,24044532,38000000
Antitrust,2001,USA,109,English,PG-13,10965209,30000000
Atlantis: The Lost Empire,2001,USA,95,English,PG,84037039,120000000
Ayurveda: Art of Being,2001,India,102,English,,16892,300000
Baby Boy,2001,USA,130,English,R,28734552,16000000
Bandits,2001,USA,123,English,PG-13,41523271,80000000
Behind Enemy Lines,2001,USA,106,English,PG-13,59068786,40000000
Birthday Girl,2001,UK,93,English,R,4919896,13000000
Black Hawk Down,2001,USA,152,English,R,108638745,92000000
Black Knight,2001,USA,95,English,PG-13,33422806,50000000
Blow,2001,USA,124,English,R,52937130,30000000
Bridget Jones's Diary,2001,UK,97,English,R,71500556,26000000
Brigham City,2001,USA,119,English,PG-13,798341,1000000
Bubble Boy,2001,USA,84,English,PG-13,5002310,13000000
Buffalo Soldiers,2001,UK,98,English,R,353743,15000000
Bully,2001,USA,115,English,R,510092,
Captain Corelli's Mandolin,2001,UK,131,English,R,25528495,57000000
Cats & Dogs,2001,USA,87,English,PG,93375151,60000000
Corky Romano,2001,USA,86,English,PG-13,23978402,11000000
Crazy/Beautiful,2001,USA,135,English,PG-13,16929123,14000000
Crocodile Dundee in Los Angeles,2001,Australia,92,English,PG,25590119,21150000
Dogtown and Z-Boys,2001,USA,91,English,PG-13,1293295,
Domestic Disturbance,2001,USA,89,English,PG-13,45207112,53000000
Don't Say a Word,2001,USA,113,English,R,54997476,50000000
Donnie Darko,2001,USA,133,English,R,727883,4500000
Double Take,2001,USA,88,English,PG-13,20218,24000000
Down and Out with the Dolls,2001,USA,88,English,R,58936,1200000
Down to Earth,2001,USA,87,English,PG-13,64172251,30000000
Dr. Dolittle 2,2001,USA,87,English,PG,112950721,72000000
Driven,2001,USA,116,English,PG-13,32616869,72000000
Elling,2001,Norway,89,Norwegian,R,313436,15500000
Enemy at the Gates,2001,USA,131,English,R,51396781,68000000
Exit Wounds,2001,USA,101,English,R,51758599,33000000
Final Fantasy: The Spirits Within,2001,USA,106,English,PG-13,32131830,137000000
Formula 51,2001,UK,93,English,R,5204007,28000000
Frailty,2001,USA,100,English,R,13103828,11000000
Freddy Got Fingered,2001,USA,87,English,R,14249005,15000000
From Hell,2001,USA,122,English,R,31598308,35000000
From Hell,2001,USA,122,English,R,31598308,35000000
Get Over It,2001,USA,87,English,PG-13,11560259,22000000
Ghost World,2001,USA,111,English,R,6200756,7000000
Ghosts of Mars,2001,USA,98,English,R,8434601,28000000
Glitter,2001,USA,104,English,PG-13,4273372,22000000
Gosford Park,2001,UK,131,English,R,41300105,19800000
Hardball,2001,USA,106,English,PG-13,40219708,21000000
Harry Potter and the Sorcerer's Stone,2001,UK,159,English,PG,317557891,125000000
Harvard Man,2001,USA,99,English,R,56007,5500000
Head Over Heels,2001,USA,86,English,PG-13,10397365,14000000
Heartbreakers,2001,USA,123,English,PG-13,40334024,35000000
Hearts in Atlantis,2001,USA,101,English,PG-13,24185781,31000000
Hedwig and the Angry Inch,2001,USA,95,English,R,3029081,6000000
High Heels and Low Lifes,2001,UK,86,English,R,226792,10000000
How High,2001,USA,93,English,R,31155435,12000000
I Am Sam,2001,USA,132,English,PG-13,40270895,22000000
Impostor,2001,USA,102,English,R,6114237,40000000
In the Bedroom,2001,USA,138,English,R,35918429,1700000
Iris,2001,UK,91,English,R,1292119,5500000
Jason X,2001,USA,85,English,R,12610731,11000000
Jay and Silent Bob Strike Back,2001,USA,104,English,R,30059386,22000000
Jeepers Creepers,2001,Germany,90,English,R,37470017,10000000
Jimmy Neutron: Boy Genius,2001,USA,82,English,G,80920948,30000000
Joe Dirt,2001,USA,91,English,PG-13,27087695,17700000
Joe Somebody,2001,USA,98,English,PG,22770864,38000000
Josie and the Pussycats,2001,Canada,98,English,PG-13,14252830,22000000
Joy Ride,2001,USA,97,English,R,21973182,23000000
Jurassic Park III,2001,USA,92,English,PG-13,181166115,93000000
Just Visiting,2001,France,84,English,PG-13,4777007,40000000
K-PAX,2001,USA,120,English,PG-13,50173190,48000000
Kate & Leopold,2001,USA,123,English,PG-13,47095453,48000000
Kiss of the Dragon,2001,France,98,English,R,36833473,25000000
Kissing Jessica Stein,2001,USA,97,English,R,7022940,1000000
Knockaround Guys,2001,USA,92,English,R,11632420,
L.I.E.,2001,USA,97,English,NC-17,1141829,700000
Lara Croft: Tomb Raider,2001,USA,100,English,PG-13,131144183,115000000
Last Orders,2001,UK,109,English,R,2326407,12000000
Legally Blonde,2001,USA,96,English,PG-13,95001351,18000000
Life as a House,2001,USA,125,English,R,15561627,18000000
Lovely & Amazing,2001,USA,91,English,R,4186931,250000
Lucky Break,2001,UK,107,English,PG-13,54606,6000000
Made,2001,USA,95,English,R,5308707,5000000
Madison,2001,USA,94,English,PG,508867,
Max Keeble's Big Move,2001,USA,91,English,PG,17292381,12000000
Mean Machine,2001,UK,99,English,R,92191,2500000
Megiddo: The Omega Code 2,2001,USA,104,English,PG-13,5974653,22000000
Monkeybone,2001,USA,93,English,PG-13,5409517,75000000
Monsoon Wedding,2001,India,114,Hindi,R,13876974,7000000
Monster's Ball,2001,USA,112,English,R,31252964,4000000
"Monsters, Inc.",2001,USA,92,English,G,289907418,115000000
Moulin Rouge!,2001,USA,127,English,PG-13,57386369,52500000
Mulholland Drive,2001,France,147,English,R,7219578,15000000
Never Again,2001,USA,98,English,R,295468,500000
Not Another Teen Movie,2001,USA,99,English,R,37882551,16000000
Novocaine,2001,USA,95,English,R,2025238,6000000
Nowhere in Africa,2001,Germany,141,English,R,6173485,7000000
O,2001,USA,95,English,R,16017403,5000000
O,2001,USA,95,English,R,16017403,5000000
Ocean's Eleven,2001,USA,116,English,PG-13,183405771,85000000
On the Line,2001,USA,85,English,PG,4356743,16000000
Original Sin,2001,France,118,English,R,16252765,42000000
Osmosis Jones,2001,USA,95,English,PG,13596911,70000000
Out Cold,2001,USA,89,English,PG-13,13903262,11000000
Pearl Harbor,2001,USA,184,English,PG-13,198539855,140000000
Planet of the Apes,2001,USA,119,English,PG-13,180011740,100000000
Planet of the Apes,2001,USA,119,English,PG-13,180011740,100000000
Pootie Tang,2001,USA,81,English,PG-13,3293258,3000000
Rat Race,2001,Canada,112,English,PG-13,56607223,48000000
Recess: School's Out,2001,USA,82,English,G,36696761,23000000
Riding in Cars with Boys,2001,USA,132,English,PG-13,29781453,48000000
Rock Star,2001,USA,105,English,R,16991902,57000000
Rush Hour 2,2001,USA,90,English,PG-13,226138454,90000000
Save the Last Dance,2001,USA,112,English,PG-13,91038276,13000000
Saving Silverman,2001,USA,96,English,PG-13,19351569,22000000
Say It Isn't So,2001,USA,95,English,R,5516708,25000000
Scary Movie 2,2001,USA,83,English,R,71277420,45000000
See Spot Run,2001,USA,94,English,PG,33357476,35000000
Serendipity,2001,USA,82,English,PG-13,49968653,28000000
Session 9,2001,USA,100,English,R,373967,1500000
Shallow Hal,2001,USA,114,English,PG-13,70836296,40000000
Shaolin Soccer,2001,Hong Kong,85,Cantonese,PG,488872,10000000
Shrek,2001,USA,90,English,PG,267652016,60000000
Someone Like You...,2001,USA,97,English,PG-13,27338033,23000000
Soul Survivors,2001,USA,84,English,PG-13,3100650,14000000
Spirited Away,2001,Japan,125,Japanese,PG,10049886,19000000
